timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,enhanced_speed@km/h,speed@km/h,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm
2020-03-17T23:20:52+00:00,-37.831655256450176,145.0116246007383,7.89808,13.399999999999977,13.399999999999977,25.430400000000002,25.430400000000002,132,26,85.0,0.0
2020-03-17T23:20:53+00:00,-37.83162013627589,145.01169324852526,7.90514,13.600000000000023,13.600000000000023,25.430400000000002,25.430400000000002,133,26,84.0,0.0
2020-03-17T23:20:56+00:00,-37.83151309937239,145.01189533621073,7.92641,13.200000000000045,13.200000000000045,25.596,25.596,136,26,86.0,0.0
2020-03-17T23:20:59+00:00,-37.83140245825052,145.01209591515362,7.94814,13.0,13.0,26.200799999999997,26.200799999999997,136,26,88.0,0.0
2020-03-17T23:21:00+00:00,-37.831360129639506,145.01215039752424,7.95542,13.0,13.0,26.200799999999997,26.200799999999997,136,26,87.0,0.0
2020-03-17T23:21:02+00:00,-37.83125074580312,145.01220513135195,7.97006,13.0,13.0,26.4708,26.4708,135,26,89.0,0.0
2020-03-17T23:21:04+00:00,-37.83111998811364,145.01221552491188,7.98489,13.0,13.0,26.7408,26.7408,134,26,81.0,0.0
2020-03-17T23:21:05+00:00,-37.83106265589595,145.01224905252457,7.99242,13.0,13.0,27.108,27.108,134,26,81.0,0.0
2020-03-17T23:21:06+00:00,-37.83101974055171,145.01229607500136,8.00038,12.600000000000023,12.600000000000023,28.6884,28.6884,135,26,81.0,0.0
2020-03-17T23:21:08+00:00,-37.83095142804086,145.01240227371454,8.01632,12.0,12.0,28.6884,28.6884,135,26,0.0,0.0
2020-03-17T23:21:12+00:00,-37.83088529482484,145.01256035640836,8.038640000000001,11.800000000000011,11.800000000000011,19.450799999999997,19.450799999999997,136,26,80.0,0.0
2020-03-17T23:21:15+00:00,-37.8308579698205,145.01266580075026,8.054680000000001,12.0,12.0,18.846,18.846,138,26,87.0,0.0
2020-03-17T23:21:16+00:00,-37.83085755072534,145.01271248795092,8.05968,12.200000000000045,12.200000000000045,18.0072,18.0072,136,26,77.0,0.0
2020-03-17T23:21:17+00:00,-37.83085847273469,145.0127563253045,8.06426,12.600000000000023,12.600000000000023,16.4628,16.4628,135,26,75.0,0.0
2020-03-17T23:21:19+00:00,-37.830876829102635,145.01279865391552,8.07218,13.200000000000045,13.200000000000045,13.607999999999999,13.607999999999999,133,26,67.0,0.0
2020-03-17T23:21:20+00:00,-37.83088940195739,145.0127959717065,8.075520000000001,13.399999999999977,13.399999999999977,12.027600000000001,12.027600000000001,133,26,59.0,0.0
2020-03-17T23:21:22+00:00,-37.8308923356235,145.0128091312945,8.08129,13.799999999999955,13.799999999999955,9.6444,9.6444,130,26,53.0,0.0
2020-03-17T23:21:23+00:00,-37.830889066681266,145.01281248405576,8.08338,14.0,14.0,7.5312,7.5312,128,26,29.0,0.0
2020-03-17T23:21:44+00:00,-37.83117304556072,145.01273956149817,8.08338,15.0,15.0,10.0764,10.0764,123,26,82.0,0.0
2020-03-17T23:21:45+00:00,-37.83118553459644,145.0127267371863,8.08618,15.0,15.0,10.0764,10.0764,123,26,59.0,0.0
2020-03-17T23:21:46+00:00,-37.831197353079915,145.01270829699934,8.08898,15.200000000000045,15.200000000000045,10.0764,10.0764,122,26,59.0,0.0
2020-03-17T23:21:47+00:00,-37.83119894564152,145.0126910302788,8.09163,15.600000000000023,15.600000000000023,9.54,9.54,119,26,31.0,0.0
2020-03-17T23:21:48+00:00,-37.83118746243417,145.01267929561436,8.093729999999999,15.600000000000023,15.600000000000023,7.5600000000000005,7.5600000000000005,121,27,50.0,0.0
2020-03-17T23:21:51+00:00,-37.831102553755045,145.0126497913152,8.093729999999999,16.0,16.0,12.013200000000001,12.013200000000001,120,27,89.0,0.0
2020-03-17T23:21:55+00:00,-37.83091915771365,145.01264283433557,8.11237,16.200000000000045,16.200000000000045,19.314,19.314,123,27,108.0,0.0
2020-03-17T23:21:56+00:00,-37.83087263815105,145.0126508809626,8.11778,16.0,16.0,19.4688,19.4688,122,27,102.0,0.0
2020-03-17T23:22:00+00:00,-37.830678429454565,145.0126854982227,8.13949,17.0,17.0,19.5984,19.5984,125,27,96.0,0.0
2020-03-17T23:22:01+00:00,-37.830629060044885,145.01269455067813,8.14514,17.200000000000045,17.200000000000045,20.2896,20.2896,125,27,97.0,0.0
2020-03-17T23:22:04+00:00,-37.83047877252102,145.01271592453122,8.16207,17.600000000000023,17.600000000000023,20.4588,20.4588,125,27,85.0,0.0
2020-03-17T23:22:12+00:00,-37.83003109507263,145.01279932446778,8.210780000000002,17.200000000000045,17.200000000000045,22.5072,22.5072,125,27,63.0,0.0
2020-03-17T23:22:16+00:00,-37.82982548698783,145.01285162754357,8.23524,16.600000000000023,16.600000000000023,21.06,21.06,122,27,0.0,0.0
2020-03-17T23:22:18+00:00,-37.82975315116346,145.01290921121836,8.24651,16.399999999999977,16.399999999999977,20.1888,20.1888,123,27,0.0,0.0
2020-03-17T23:22:20+00:00,-37.82970470376313,145.0130041781813,8.256870000000001,16.200000000000045,16.200000000000045,18.6444,18.6444,123,27,79.0,0.0
