timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,cadence@rpm,fractional_cadence@rpm
2022-03-10T02:16:50+00:00,-37.82083145342767,144.96871227398515,14.46781,18.200000000000045,99,25,31.878000000000004,78.0,0.0
2022-03-10T02:16:53+00:00,-37.820597598329186,144.96860993094742,14.49424,18.399999999999977,102,25,31.607999999999997,79.0,0.0
2022-03-10T02:16:56+00:00,-37.8203655872494,144.9685292970389,14.520290000000001,18.200000000000045,106,25,31.104000000000003,83.0,0.0
2022-03-10T02:16:58+00:00,-37.82019996084273,144.96850842610002,14.53765,18.200000000000045,108,25,31.374,83.0,0.0
2022-03-10T02:17:01+00:00,-37.819957472383976,144.96848361566663,14.56357,18.600000000000023,108,26,31.104000000000003,87.0,0.0
2022-03-10T02:17:02+00:00,-37.819877844303846,144.96845377609134,14.572239999999999,18.600000000000023,108,26,31.240800000000004,86.0,0.0
2022-03-10T02:17:03+00:00,-37.81980073079467,144.96841974556446,14.58092,18.799999999999955,108,26,31.240800000000004,88.0,0.0
2022-03-10T02:17:09+00:00,-37.81934970058501,144.96821237728,14.633899999999999,19.200000000000045,109,26,32.0112,79.0,0.0
2022-03-10T02:17:13+00:00,-37.81906379386783,144.96808798983693,14.66845,19.600000000000023,109,26,29.5272,0.0,0.0
2022-03-10T02:17:17+00:00,-37.81888693571091,144.96800618246198,14.69185,19.600000000000023,109,26,16.6284,0.0,0.0
2022-03-10T02:17:20+00:00,-37.81880839727819,144.96797148138285,14.70271,19.399999999999977,105,26,10.580400000000001,0.0,0.0
2022-03-10T02:17:22+00:00,-37.81877185218036,144.96795966289937,14.70767,19.399999999999977,103,26,8.330400000000001,0.0,0.0
2022-03-10T02:17:23+00:00,-37.81875668093562,144.96795371174812,14.709670000000001,19.399999999999977,102,26,7.1892000000000005,0.0,0.0
2022-03-10T02:17:30+00:00,-37.81864042393863,144.96789369732141,14.709670000000001,19.399999999999977,98,26,11.79,0.0,0.0
2022-03-10T02:17:31+00:00,-37.81861435621977,144.96787425130606,14.713040000000001,19.399999999999977,98,26,12.0924,23.0,0.0
