timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm,enhanced_speed@km/h
2022-03-02T09:15:31+00:00,-37.83175458200276,144.92960206232965,0.7369199999999999,9.600000000000023,91,52,30,0.0,5.2416
2022-03-02T09:15:37+00:00,-37.83171351067722,144.92968814447522,0.74546,9.800000000000011,91,53,30,0.0,5.274
2022-03-02T09:15:39+00:00,-37.83170378766954,144.92971513420343,0.74791,9.800000000000011,91,54,30,0.5,5.3064
2022-03-02T09:15:45+00:00,-37.83169121481478,144.92981370538473,0.75659,9.600000000000023,89,51,30,0.5,5.3064
2022-03-02T09:15:46+00:00,-37.831690795719624,144.9298305530101,0.7579,9.800000000000011,89,51,30,0.5,5.3064
2022-03-02T09:15:48+00:00,-37.83168534748256,144.9298516754061,0.75976,9.800000000000011,88,51,30,0.5,5.3064
2022-03-02T09:15:52+00:00,-37.831657100468874,144.92991982027888,0.76644,9.600000000000023,88,51,30,0.5,5.3064
2022-03-02T09:15:58+00:00,-37.831641091033816,144.9300155416131,0.77497,9.800000000000011,88,51,30,0.5,5.274
2022-03-02T09:16:01+00:00,-37.83163639716804,144.9300551880151,0.77847,9.800000000000011,92,52,30,0.5,5.274
2022-03-02T09:16:03+00:00,-37.83162759616971,144.93007614277303,0.78049,9.800000000000011,94,52,30,0.0,5.274
2022-03-02T09:16:07+00:00,-37.83161669969559,144.93013967759907,0.7862100000000001,9.800000000000011,97,51,30,0.0,5.2416
2022-03-02T09:16:13+00:00,-37.831605887040496,144.93022978305817,0.7942,9.800000000000011,97,50,30,0.0,5.2416
2022-03-02T09:16:15+00:00,-37.83159867860377,144.93025719188154,0.79675,9.800000000000011,97,51,30,0.5,5.2416
2022-03-02T09:16:19+00:00,-37.83158753067255,144.93032726459205,0.80277,9.800000000000011,96,52,30,0.5,5.2416
2022-03-02T09:16:21+00:00,-37.83158401027322,144.93034888990223,0.80472,9.600000000000023,96,50,30,0.5,5.2416
2022-03-02T09:16:27+00:00,-37.8315643966198,144.93044109083712,0.81308,9.800000000000011,99,51,30,0.5,5.2416
2022-03-02T09:16:28+00:00,-37.831562384963036,144.93045357987285,0.8142,9.800000000000011,95,51,30,0.0,5.2416
2022-03-02T09:16:30+00:00,-37.83155861310661,144.93048442527652,0.8169299999999999,9.800000000000011,95,51,30,0.5,5.2056
2022-03-02T09:16:36+00:00,-37.83154344186187,144.9305798113346,0.82548,9.800000000000011,93,51,30,0.5,5.2056
2022-03-02T09:16:38+00:00,-37.83153237774968,144.9306104052812,0.82845,9.600000000000023,91,51,30,0.5,5.2056
2022-03-02T09:16:41+00:00,-37.831526175141335,144.9306487943977,0.83188,9.600000000000023,89,51,30,0.5,5.1732000000000005
2022-03-02T09:16:45+00:00,-37.8315194696188,144.93072347715497,0.83841,9.600000000000023,85,50,30,0.0,5.1732000000000005
2022-03-02T09:16:50+00:00,-37.831497425213456,144.93078047409654,0.84387,9.600000000000023,85,52,30,0.0,5.1408
