timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm,enhanced_speed@km/h
2020-12-11T22:10:09+00:00,-37.84373835660517,144.95773608796299,1.46997,6.800000000000011,117,28,76.0,0.0,35.3052
2020-12-11T22:10:11+00:00,-37.843875735998154,144.95758588425815,1.48967,6.800000000000011,118,28,81.0,0.0,35.4708
2020-12-11T22:10:17+00:00,-37.84427220001817,144.95711205527186,1.5491199999999998,6.800000000000011,120,28,76.0,0.0,35.6076
2020-12-11T22:10:20+00:00,-37.84447034820914,144.95688716880977,1.57862,6.800000000000011,120,28,77.0,0.0,35.269200000000005
2020-12-11T22:10:23+00:00,-37.84466095268726,144.95665800757706,1.60796,6.399999999999977,117,28,79.0,0.0,35.1036
2020-12-11T22:10:27+00:00,-37.844916600733995,144.95636514388025,1.64674,6.399999999999977,115,28,76.0,0.0,34.8012
2020-12-11T22:10:29+00:00,-37.845043083652854,144.95622508227825,1.66575,6.399999999999977,116,27,78.0,0.0,33.958800000000004
2020-12-11T22:10:33+00:00,-37.84528900869191,144.95593548752367,1.70316,6.600000000000023,116,27,77.0,0.0,33.5916
2020-12-11T22:10:39+00:00,-37.84564373083413,144.95548764243722,1.75939,6.800000000000011,115,27,73.0,0.0,33.7248
2020-12-11T22:10:41+00:00,-37.84576644189656,144.9553493410349,1.7782200000000001,6.800000000000011,117,27,75.0,0.0,33.9264
2020-12-11T22:10:42+00:00,-37.845834251493216,144.95528982952237,1.7877,7.0,117,27,79.0,0.0,34.128
2020-12-11T22:10:45+00:00,-37.84605771303177,144.95513702742755,1.8159,6.800000000000011,116,27,31.0,0.0,33.2892
2020-12-11T22:10:47+00:00,-37.84616776742041,144.95498187839985,1.83432,6.600000000000023,118,27,72.0,0.0,33.1524
2020-12-11T22:10:48+00:00,-37.84621302969754,144.95489705353975,1.84355,6.600000000000023,119,27,74.0,0.0,33.1524
2020-12-11T22:10:49+00:00,-37.84626206383109,144.9548179283738,1.85293,6.399999999999977,119,27,76.0,0.0,33.858
2020-12-11T22:10:52+00:00,-37.84644336439669,144.9546027649194,1.8813499999999999,6.199999999999989,118,27,75.0,0.0,34.1604
2020-12-11T22:10:58+00:00,-37.84682968631387,144.95416413992643,1.93858,6.0,118,27,76.0,0.0,34.2288
2020-12-11T22:11:00+00:00,-37.84695440903306,144.95401879772544,1.95746,6.0,119,27,73.0,0.0,33.7248
2020-12-11T22:11:06+00:00,-37.847330421209335,144.95359408669174,2.01371,6.0,122,27,74.0,0.0,33.793200000000006
2020-12-11T22:11:09+00:00,-37.84751918166876,144.95337842032313,2.0413099999999997,6.0,122,27,69.0,0.0,32.886
2020-12-11T22:11:15+00:00,-37.84789259545505,144.95296929962933,2.0956799999999998,6.399999999999977,122,27,72.0,0.0,32.5476
2020-12-11T22:11:17+00:00,-37.84801488742232,144.95283091440797,2.11376,6.600000000000023,121,27,69.0,0.0,32.5476
2020-12-11T22:11:23+00:00,-37.84838469699025,144.95240955613554,2.16899,6.600000000000023,123,27,73.0,0.0,33.12
2020-12-11T22:11:26+00:00,-37.848567087203264,144.95220310986042,2.19631,6.600000000000023,120,27,75.0,0.0,32.684400000000004
2020-12-11T22:11:27+00:00,-37.84863095730543,144.95214074850082,2.2052899999999998,6.600000000000023,118,27,75.0,0.0,32.346
2020-12-11T22:11:33+00:00,-37.84897059202194,144.9517701845616,2.25529,7.0,116,27,0.0,0.0,28.584000000000003
2020-12-11T22:11:34+00:00,-37.84902390092611,144.9517159536481,2.2631799999999997,7.0,116,27,0.0,0.0,28.418400000000002
2020-12-11T22:11:36+00:00,-37.8491488751024,144.95164705440402,2.27867,7.0,116,27,0.0,0.0,27.846
2020-12-11T22:11:37+00:00,-37.84921567887068,144.95164244435728,2.28623,7.199999999999989,116,27,5.0,0.0,27.2088
2020-12-11T22:11:38+00:00,-37.84927879460156,144.9516599625349,2.2937800000000004,7.199999999999989,116,27,57.0,0.0,27.2088
2020-12-11T22:11:39+00:00,-37.84932137466967,144.95172081515193,2.3013600000000003,7.199999999999989,116,27,61.0,0.0,27.2088
2020-12-11T22:11:40+00:00,-37.8493560757488,144.95179918594658,2.30911,7.199999999999989,117,27,63.0,0.0,27.9144
2020-12-11T22:11:41+00:00,-37.84938625060022,144.95188652537763,2.31737,7.399999999999977,119,27,67.0,0.0,29.728799999999996
2020-12-11T22:11:42+00:00,-37.8494184371084,144.951977385208,2.32586,7.399999999999977,120,27,74.0,0.0,30.5676
2020-12-11T22:11:44+00:00,-37.849495047703385,144.95215843431652,2.34315,7.600000000000023,123,27,62.0,0.0,31.374
2020-12-11T22:11:46+00:00,-37.84957408905029,144.95234216563404,2.36084,7.800000000000011,126,27,66.0,0.0,32.0112
2020-12-11T22:11:48+00:00,-37.849653298035264,144.9525334406644,2.3787399999999996,7.399999999999977,127,27,68.0,0.0,32.2128
2020-12-11T22:11:51+00:00,-37.84978061914444,144.9528355244547,2.40631,7.600000000000023,131,27,69.0,0.0,33.2568
2020-12-11T22:11:53+00:00,-37.849872736260295,144.9530221056193,2.42531,8.399999999999977,133,27,71.0,0.0,34.4304
2020-12-11T22:11:54+00:00,-37.84992076456547,144.95311514474452,2.43518,8.600000000000023,136,27,72.0,0.0,35.4708
2020-12-11T22:11:55+00:00,-37.84997122362256,144.95320935733616,2.44504,8.600000000000023,133,27,72.0,0.0,35.5392
2020-12-11T22:11:58+00:00,-37.850114554166794,144.95350607670844,2.4747,8.800000000000011,132,27,74.0,0.0,35.6076
2020-12-11T22:11:59+00:00,-37.85015244036913,144.95361638255417,2.48458,8.800000000000011,132,27,70.0,0.0,35.5392
2020-12-11T22:12:00+00:00,-37.85018797963858,144.95371998287737,2.4942800000000003,9.0,132,27,71.0,0.0,34.902
2020-12-11T22:12:01+00:00,-37.85023357719183,144.95382836088538,2.50393,9.199999999999989,135,27,70.0,0.0,34.7328
2020-12-11T22:12:03+00:00,-37.85031697712839,144.9540194682777,2.5229,9.399999999999977,133,27,70.0,0.0,34.0596
2020-12-11T22:12:08+00:00,-37.85054479725659,144.95449824258685,2.57052,8.800000000000011,130,27,71.0,0.0,34.7328
2020-12-11T22:12:11+00:00,-37.85067915916443,144.95480460114777,2.59962,8.399999999999977,132,27,69.0,0.0,35.035199999999996
2020-12-11T22:12:12+00:00,-37.85071679390967,144.95489353314042,2.60935,8.399999999999977,134,27,73.0,0.0,35.035199999999996
2020-12-11T22:12:17+00:00,-37.85095090046525,144.9553493410349,2.65878,8.399999999999977,133,27,73.0,0.0,36.043200000000006
2020-12-11T22:12:21+00:00,-37.85115206614137,144.9557148758322,2.6989099999999997,8.800000000000011,136,27,69.0,0.0,36.144
2020-12-11T22:12:22+00:00,-37.85120411776006,144.95580296963453,2.7090300000000003,9.0,137,27,68.0,0.0,36.4104
2020-12-11T22:12:24+00:00,-37.85130511969328,144.95598586276174,2.72924,9.199999999999989,137,27,67.0,0.0,36.4104
2020-12-11T22:12:28+00:00,-37.85148398950696,144.95637863874435,2.76873,8.800000000000011,137,27,67.0,0.0,35.2368
2020-12-11T22:12:32+00:00,-37.851666044443846,144.95675439946353,2.80838,8.399999999999977,137,27,69.0,0.0,36.5796
2020-12-11T22:12:33+00:00,-37.85171415656805,144.95684693567455,2.81854,8.399999999999977,138,27,69.0,0.0,36.5796
2020-12-11T22:12:35+00:00,-37.85180593840778,144.95704650878906,2.83886,8.399999999999977,139,27,69.0,0.0,36.5796
2020-12-11T22:12:37+00:00,-37.85189629532397,144.95725161395967,2.85928,8.600000000000023,138,27,69.0,0.0,36.9144
2020-12-11T22:12:38+00:00,-37.851946922019124,144.95734909549356,2.86959,8.600000000000023,139,27,70.0,0.0,37.083600000000004
2020-12-11T22:12:42+00:00,-37.85214180126786,144.95774262584746,2.9109499999999997,8.399999999999977,141,27,69.0,0.0,37.083600000000004
2020-12-11T22:12:43+00:00,-37.85219888202846,144.9578291270882,2.92126,8.199999999999989,142,27,70.0,0.0,37.083600000000004
2020-12-11T22:12:45+00:00,-37.85229602828622,144.9580178875476,2.94185,7.800000000000011,143,27,70.0,0.0,37.083600000000004
2020-12-11T22:12:47+00:00,-37.852382278069854,144.958222405985,2.96245,7.600000000000023,144,27,69.0,0.0,37.083600000000004
2020-12-11T22:12:52+00:00,-37.85263415426016,144.9587115738541,3.0131900000000003,7.600000000000023,145,27,67.0,0.0,36.144
2020-12-11T22:12:58+00:00,-37.85289416089654,144.95929772034287,3.07325,8.399999999999977,145,27,69.0,0.0,35.91
2020-12-11T22:13:00+00:00,-37.852982422336936,144.95949611999094,3.09315,8.399999999999977,146,27,66.0,0.0,35.91
2020-12-11T22:13:01+00:00,-37.85302508622408,144.95959796011448,3.10307,8.399999999999977,146,27,67.0,0.0,35.74080000000001
2020-12-11T22:13:05+00:00,-37.85318543203175,144.96001537889242,3.1426399999999997,7.399999999999977,146,27,67.0,0.0,35.571600000000004
2020-12-11T22:13:06+00:00,-37.85323480144143,144.9601104296744,3.1525700000000003,7.399999999999977,144,27,68.0,0.0,35.74080000000001
2020-12-11T22:13:11+00:00,-37.85349656827748,144.9605628848076,3.20268,7.800000000000011,144,27,69.0,0.0,36.4104
2020-12-11T22:13:13+00:00,-37.85359681583941,144.9607508070767,3.22321,7.600000000000023,145,27,68.0,0.0,36.9504
2020-12-11T22:13:16+00:00,-37.853749450296164,144.96103269048035,3.25447,7.399999999999977,145,27,72.0,0.0,37.656000000000006
2020-12-11T22:13:22+00:00,-37.854045080021024,144.961631661281,3.31793,7.600000000000023,146,27,72.0,0.0,37.821600000000004
2020-12-11T22:13:25+00:00,-37.854190254583955,144.96193726547062,3.3494800000000002,8.600000000000023,147,27,72.0,0.0,37.89
2020-12-11T22:13:31+00:00,-37.85447440110147,144.96253489516675,3.41135,8.199999999999989,146,27,68.0,0.0,36.5796
2020-12-11T22:13:32+00:00,-37.854520082473755,144.9626341369003,3.4215,8.199999999999989,146,27,69.0,0.0,36.5796
2020-12-11T22:13:38+00:00,-37.85478947684169,144.9632113147527,3.4813899999999998,7.800000000000011,146,27,68.0,0.0,35.708400000000005
2020-12-11T22:13:44+00:00,-37.855085860937834,144.96379083953798,3.5423400000000003,7.800000000000011,145,27,71.0,0.0,36.9144
2020-12-11T22:13:46+00:00,-37.85518870688975,144.96398890390992,3.5630300000000004,7.600000000000023,144,27,71.0,0.0,37.5876
2020-12-11T22:13:51+00:00,-37.855450976639986,144.96450120583177,3.61543,7.600000000000023,145,27,74.0,0.0,37.7568
2020-12-11T22:13:57+00:00,-37.85576160997152,144.9650850892067,3.67748,7.600000000000023,145,27,70.0,0.0,36.781200000000005
2020-12-11T22:13:58+00:00,-37.85580972209573,144.96518173255026,3.6876599999999997,7.600000000000023,144,27,70.0,0.0,36.6804
2020-12-11T22:14:04+00:00,-37.856109123677015,144.96576041914523,3.74779,8.0,144,27,67.0,0.0,36.043200000000006
2020-12-11T22:14:06+00:00,-37.85620702430606,144.96595110744238,3.76803,8.0,143,27,69.0,0.0,36.5112
2020-12-11T22:14:10+00:00,-37.85641045309603,144.96633692644536,3.8088200000000003,6.399999999999977,142,27,69.0,0.0,36.6804
2020-12-11T22:14:15+00:00,-37.856644224375486,144.96681293472648,3.8592199999999997,6.199999999999989,144,27,68.0,0.0,35.8416
2020-12-11T22:14:18+00:00,-37.85679283551872,144.96709439903498,3.88914,7.600000000000023,144,27,68.0,0.0,35.8092
2020-12-11T22:14:20+00:00,-37.85690029151738,144.96727502904832,3.90914,8.0,147,27,68.0,0.0,36.144
2020-12-11T22:14:22+00:00,-37.85700548440218,144.96746085584164,3.92937,8.199999999999989,147,27,69.0,0.0,36.6804
2020-12-11T22:14:28+00:00,-37.857321817427874,144.96803803369403,3.99064,8.399999999999977,146,27,67.0,0.0,36.8496
2020-12-11T22:14:29+00:00,-37.8573739528656,144.96813635341823,4.00097,8.600000000000023,149,27,72.0,0.0,37.184400000000004
2020-12-11T22:14:33+00:00,-37.85758743993938,144.9685329850763,4.0435300000000005,9.800000000000011,150,27,74.0,0.0,38.462399999999995
2020-12-11T22:14:35+00:00,-37.8576881904155,144.96873708441854,4.06491,9.800000000000011,151,27,74.0,0.0,38.462399999999995
2020-12-11T22:14:40+00:00,-37.857931684702635,144.96926296502352,4.118399999999999,8.800000000000011,153,27,72.0,0.0,38.5632
2020-12-11T22:14:41+00:00,-37.857981054112315,144.96936656534672,4.12892,8.600000000000023,154,27,74.0,0.0,37.821600000000004
2020-12-11T22:14:45+00:00,-37.85818247124553,144.9697737582028,4.17089,8.199999999999989,155,27,70.0,0.0,37.62
2020-12-11T22:14:48+00:00,-37.858336782082915,144.97005958110094,4.2019899999999994,8.399999999999977,154,27,71.0,0.0,37.2168
2020-12-11T22:14:50+00:00,-37.85845932550728,144.97024674899876,4.22303,8.0,152,27,72.0,0.0,38.1924
2020-12-11T22:14:54+00:00,-37.85872687585652,144.970575068146,4.26531,8.199999999999989,156,27,70.0,0.0,37.821600000000004
2020-12-11T22:14:58+00:00,-37.859005741775036,144.97086214832962,4.30647,9.0,160,27,69.0,0.0,36.8496
2020-12-11T22:15:00+00:00,-37.85915041342378,144.9710077419877,4.32703,8.800000000000011,157,27,70.0,0.0,37.184400000000004
2020-12-11T22:15:02+00:00,-37.85929684527218,144.97114947997034,4.3476099999999995,9.0,156,27,76.0,0.0,36.9144
2020-12-11T22:15:08+00:00,-37.85973706282675,144.97156203724444,4.40808,9.0,156,27,69.0,0.0,35.874
2020-12-11T22:15:11+00:00,-37.859955076128244,144.97176311910152,4.43846,9.399999999999977,153,27,69.0,0.0,36.648
2020-12-11T22:15:13+00:00,-37.860107710585,144.97189211659133,4.459,9.800000000000011,153,27,69.0,0.0,36.9828
2020-12-11T22:15:19+00:00,-37.860534600913525,144.97229075990617,4.51872,10.399999999999977,154,27,67.0,0.0,35.4708
2020-12-11T22:15:25+00:00,-37.86095067858696,144.9726486671716,4.575699999999999,9.399999999999977,153,27,17.0,0.0,32.346
2020-12-11T22:15:27+00:00,-37.861071126535535,144.97273541986942,4.592569999999999,9.399999999999977,156,27,51.0,0.0,30.063600000000005
2020-12-11T22:15:29+00:00,-37.86116919480264,144.9727821070701,4.6058,9.800000000000011,157,27,51.0,0.0,21.5316
2020-12-11T22:15:30+00:00,-37.86119786091149,144.97278646565974,4.61036,9.800000000000011,157,27,51.0,0.0,16.4268
2020-12-11T22:15:32+00:00,-37.86123214289546,144.9727903213352,4.61729,9.800000000000011,159,27,51.0,0.0,10.9512
2020-12-11T22:15:33+00:00,-37.86123658530414,144.97278906404972,4.6193,9.600000000000023,159,27,0.0,0.0,7.2540000000000004
2020-12-11T22:15:51+00:00,-37.86129358224571,144.97281295247376,4.6193,9.399999999999977,148,27,0.0,0.0,8.1972
