timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_speed@km/h,enhanced_altitude@m,heart_rate@bpm,temperature@C,cadence@rpm,fractional_cadence@rpm
2020-12-24T00:07:16+00:00,-37.88073683157563,145.3605220746249,46.32545,18.3132,467.79999999999995,127,17,78.0,0.0
2020-12-24T00:07:18+00:00,-37.88077153265476,145.36063615232706,46.33557,18.144000000000002,468.0,128,17,80.0,0.0
2020-12-24T00:07:19+00:00,-37.88078268058598,145.3606959991157,46.34061,18.144000000000002,468.20000000000005,129,17,80.0,0.0
2020-12-24T00:07:21+00:00,-37.88081134669483,145.3607876971364,46.350660000000005,18.090000000000003,468.6,132,17,80.0,0.0
2020-12-24T00:07:22+00:00,-37.880831798538566,145.3608321212232,46.355669999999996,18.0576,468.79999999999995,131,17,79.0,0.0
2020-12-24T00:07:27+00:00,-37.88090279325843,145.3611294273287,46.38061,18.1584,469.6,129,17,81.0,0.0
2020-12-24T00:07:29+00:00,-37.880948055535555,145.36125104874372,46.390980000000006,18.558,470.0,130,17,81.0,0.0
2020-12-24T00:07:31+00:00,-37.88098778575659,145.36134920082986,46.40139,18.759600000000002,470.20000000000005,129,17,83.0,0.0
2020-12-24T00:07:33+00:00,-37.881033634766936,145.36145020276308,46.41182,18.7956,470.6,128,17,83.0,0.0
2020-12-24T00:07:35+00:00,-37.881073113530874,145.36157702095807,46.422419999999995,19.1304,470.79999999999995,128,17,85.0,0.0
2020-12-24T00:07:37+00:00,-37.8811099100858,145.36171448417008,46.433080000000004,19.224,471.0,128,17,89.0,0.0
2020-12-24T00:07:41+00:00,-37.8811323735863,145.36197650246322,46.45494,19.6596,471.4,126,17,77.0,0.0
2020-12-24T00:07:47+00:00,-37.88111879490316,145.36238679662347,46.489779999999996,22.0104,471.6,123,17,89.0,0.0
2020-12-24T00:07:49+00:00,-37.88111577741802,145.36253808997571,46.50243,23.0508,471.6,120,17,92.0,0.0
2020-12-24T00:07:54+00:00,-37.88111393339932,145.36296363919973,46.53732,26.776799999999998,470.79999999999995,120,17,81.0,0.0
2020-12-24T00:07:57+00:00,-37.88110898807645,145.36322825588286,46.56072,29.095200000000002,470.0,120,17,92.0,0.0
2020-12-24T00:07:59+00:00,-37.881097085773945,145.36341777071357,46.57763,30.8088,468.79999999999995,120,17,65.0,0.0
2020-12-24T00:08:01+00:00,-37.88108711130917,145.36362673155963,46.59599,33.49080000000001,467.79999999999995,120,17,71.0,0.0
2020-12-24T00:08:03+00:00,-37.88108769804239,145.3638512827456,46.61587,36.446400000000004,466.20000000000005,121,17,71.0,0.0
2020-12-24T00:08:05+00:00,-37.88110161200166,145.36408103071153,46.63625,36.9504,465.0,124,17,0.0,0.0
2020-12-24T00:08:06+00:00,-37.88111728616059,145.36419787444174,46.646519999999995,36.9504,464.4,125,17,0.0,0.0
2020-12-24T00:08:07+00:00,-37.88113983348012,145.36431069485843,46.656620000000004,36.446400000000004,463.79999999999995,125,17,0.0,0.0
2020-12-24T00:08:09+00:00,-37.881187023594975,145.36451973952353,46.67617,33.858,462.4,125,17,0.0,0.0
2020-12-24T00:08:11+00:00,-37.881230441853404,145.36472719162703,46.694900000000004,33.656400000000005,460.79999999999995,126,17,6.0,0.0
2020-12-24T00:08:12+00:00,-37.88126539438963,145.36481981165707,46.70416,33.354000000000006,459.79999999999995,126,17,6.0,0.0
2020-12-24T00:08:13+00:00,-37.88130688481033,145.36490958184004,46.713629999999995,33.656400000000005,458.79999999999995,126,17,6.0,0.0
2020-12-24T00:08:14+00:00,-37.88135977461934,145.36498753353953,46.72319,34.390800000000006,458.0,127,17,6.0,0.0
2020-12-24T00:08:15+00:00,-37.88143211044371,145.36505098454654,46.73276,34.5276,457.20000000000005,127,17,6.0,0.0
