timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h,speed@km/h
2019-09-25T09:05:42+00:00,-37.818069867789745,144.94620610959828,0.47687,21.399999999999977,21.399999999999977,122,25,20.2212,20.2212
2019-09-25T09:05:43+00:00,-37.81801429577172,144.94617476128042,0.48361000000000004,21.399999999999977,21.399999999999977,122,25,20.4552,20.4552
2019-09-25T09:05:50+00:00,-37.81762403436005,144.94599320925772,0.5297799999999999,21.0,21.0,120,25,21.096,21.096
2019-09-25T09:05:56+00:00,-37.817299738526344,144.94583814404905,0.56828,21.0,21.0,123,25,22.204800000000002,22.204800000000002
2019-09-25T09:05:57+00:00,-37.81724626198411,144.94581308215857,0.57462,21.0,21.0,123,25,22.204800000000002,22.204800000000002
2019-09-25T09:06:04+00:00,-37.81687377020717,144.94563890621066,0.6187,20.799999999999955,20.799999999999955,125,25,21.9024,21.9024
2019-09-25T09:06:09+00:00,-37.8165786433965,144.94550378993154,0.65355,20.600000000000023,20.600000000000023,128,24,23.6484,23.6484
2019-09-25T09:06:11+00:00,-37.81646255403757,144.94545676745474,0.6670900000000001,20.600000000000023,20.600000000000023,128,24,23.346,23.346
2019-09-25T09:06:15+00:00,-37.81623783521354,144.94535484351218,0.6936,20.399999999999977,20.399999999999977,125,24,21.765600000000003,21.765600000000003
2019-09-25T09:06:16+00:00,-37.81618243083358,144.94532433338463,0.70031,20.399999999999977,20.399999999999977,125,24,21.7332,21.7332
2019-09-25T09:06:19+00:00,-37.8160207439214,144.94524856097996,0.7194299999999999,20.600000000000023,20.600000000000023,126,24,21.3984,21.3984
2019-09-25T09:06:26+00:00,-37.81564833596349,144.94508787989616,0.76314,21.200000000000045,21.200000000000045,124,24,20.052000000000003,20.052000000000003
2019-09-25T09:06:32+00:00,-37.815406853333116,144.94498629122972,0.7923300000000001,21.200000000000045,21.200000000000045,123,24,20.088,20.088
2019-09-25T09:06:34+00:00,-37.81534591689706,144.9449571222067,0.79955,21.0,21.0,126,24,16.6284,16.6284
2019-09-25T09:06:37+00:00,-37.815264612436295,144.9449275340885,0.8089500000000001,20.799999999999955,20.799999999999955,126,24,11.79,11.79
2019-09-25T09:06:38+00:00,-37.81523787416518,144.94491253048182,0.8122,20.799999999999955,20.799999999999955,129,24,11.556000000000001,11.556000000000001
2019-09-25T09:06:39+00:00,-37.81521323136985,144.9449000414461,0.81514,20.799999999999955,20.799999999999955,132,24,11.556000000000001,11.556000000000001
2019-09-25T09:06:43+00:00,-37.815132262185216,144.9448720458895,0.8244600000000001,20.799999999999955,20.799999999999955,134,24,9.0684,9.0684
2019-09-25T09:06:49+00:00,-37.81502044759691,144.9448424577713,0.83716,20.600000000000023,20.600000000000023,132,24,8.262,8.262
2019-09-25T09:06:51+00:00,-37.814985578879714,144.94485821574926,0.84134,20.600000000000023,20.600000000000023,132,24,8.1288,8.1288
2019-09-25T09:06:53+00:00,-37.8149760235101,144.944878667593,0.84349,20.600000000000023,20.600000000000023,130,24,6.6168000000000005,6.6168000000000005
2019-09-25T09:06:55+00:00,-37.814977280795574,144.94488403201103,0.84397,20.399999999999977,20.399999999999977,129,24,2.3508,2.3508
2019-09-25T09:08:02+00:00,-37.8149274084717,144.9451038055122,0.84397,20.799999999999955,20.799999999999955,116,24,5.7096,5.7096
2019-09-25T09:08:03+00:00,-37.81492137350142,144.94513012468815,0.84636,20.799999999999955,20.799999999999955,116,24,5.7096,5.7096
2019-09-25T09:08:04+00:00,-37.81491860747337,144.94515418075025,0.84849,20.799999999999955,20.799999999999955,116,24,5.9472,5.9472
2019-09-25T09:08:08+00:00,-37.8149170987308,144.94529927149415,0.8613500000000001,20.200000000000045,20.200000000000045,115,24,10.7136,10.7136
2019-09-25T09:08:10+00:00,-37.814904022961855,144.94538912549615,0.86949,20.0,20.0,112,24,15.1164,15.1164
2019-09-25T09:08:12+00:00,-37.81488365493715,144.94546925649047,0.8769,20.0,20.0,111,24,15.584399999999999,15.584399999999999
2019-09-25T09:08:17+00:00,-37.81481743790209,144.94568768888712,0.8975,20.799999999999955,20.799999999999955,114,24,16.3584,16.3584
2019-09-25T09:08:18+00:00,-37.81480377539992,144.94574409909546,0.9026799999999999,20.799999999999955,20.799999999999955,114,24,16.83,16.83
2019-09-25T09:08:20+00:00,-37.814766224473715,144.94585314765573,0.91315,21.200000000000045,21.200000000000045,116,24,18.576,18.576
2019-09-25T09:08:22+00:00,-37.81472691334784,144.94596554897726,0.92401,21.600000000000023,21.600000000000023,118,24,18.576,18.576
2019-09-25T09:08:23+00:00,-37.814707132056355,144.94601676240563,0.92902,21.799999999999955,21.799999999999955,118,24,18.6444,18.6444
2019-09-25T09:08:25+00:00,-37.81466639600694,144.9461110588163,0.93847,22.600000000000023,22.600000000000023,117,24,17.870400000000004,17.870400000000004
2019-09-25T09:08:28+00:00,-37.81460436992347,144.94626151397824,0.95338,23.600000000000023,23.600000000000023,118,24,16.9308,16.9308
2019-09-25T09:08:30+00:00,-37.81457411125302,144.94635924696922,0.96262,24.200000000000045,24.200000000000045,120,24,17.1324,17.1324
2019-09-25T09:08:33+00:00,-37.81451376155019,144.94649101048708,0.97587,24.600000000000023,24.600000000000023,120,24,16.3584,16.3584
2019-09-25T09:08:37+00:00,-37.81444452702999,144.94663836434484,0.99085,25.600000000000023,25.600000000000023,119,24,15.328800000000001,15.328800000000001
2019-09-25T09:08:38+00:00,-37.814432960003614,144.94666518643498,0.99354,26.0,26.0,121,24,15.328800000000001,15.328800000000001
2019-09-25T09:08:42+00:00,-37.81435609795153,144.9468312319368,1.01082,27.0,27.0,122,24,12.0384,12.0384
2019-09-25T09:08:43+00:00,-37.81431511044502,144.94687288999557,1.01641,27.0,27.0,124,24,12.0384,12.0384
2019-09-25T09:08:44+00:00,-37.81429985538125,144.9469142127782,1.02035,27.200000000000045,27.200000000000045,121,24,12.006,12.006
2019-09-25T09:08:47+00:00,-37.81426305882633,144.9470109399408,1.02969,28.200000000000045,28.200000000000045,121,24,10.0584,10.0584
2019-09-25T09:08:48+00:00,-37.81426507048309,144.9470471497625,1.03286,28.399999999999977,28.399999999999977,120,24,8.384400000000001,8.384400000000001
2019-09-25T09:08:51+00:00,-37.81426180154085,144.94714354164898,1.0413599999999998,29.0,29.0,123,24,9.6588,9.6588
2019-09-25T09:08:52+00:00,-37.814271273091435,144.94717019610107,1.04393,29.200000000000045,29.200000000000045,125,24,8.4168,8.4168
2019-09-25T09:08:53+00:00,-37.814250737428665,144.9471929948777,1.04673,29.399999999999977,29.399999999999977,126,24,10.026000000000002,10.026000000000002
