timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,temperature@C,enhanced_speed@km/h
2021-02-18T23:08:55+00:00,-37.82245754264295,145.01547390595078,10.835600000000001,15.0,106,30,21.438000000000002
2021-02-18T23:09:01+00:00,-37.8221199195832,145.01541573554277,10.87317,15.0,106,30,21.1284
2021-02-18T23:09:02+00:00,-37.822068287059665,145.0154181662947,10.87889,14.799999999999955,106,30,21.1284
2021-02-18T23:09:04+00:00,-37.822001315653324,145.0154128856957,10.88635,14.799999999999955,107,30,20.761200000000002
2021-02-18T23:09:06+00:00,-37.821933925151825,145.01539779827,10.89396,15.399999999999977,107,30,18.4752
2021-02-18T23:09:07+00:00,-37.82189704477787,145.0153904221952,10.898100000000001,15.600000000000023,107,30,17.0316
2021-02-18T23:09:12+00:00,-37.821689089760184,145.01535153016448,10.92149,16.0,109,30,15.4872
2021-02-18T23:09:14+00:00,-37.82159420661628,145.01532931812108,10.93193,16.0,109,30,17.0316
2021-02-18T23:09:16+00:00,-37.821502508595586,145.01531397923827,10.94216,16.0,110,30,17.0316
2021-02-18T23:09:17+00:00,-37.82145003788173,145.0153108779341,10.947989999999999,16.0,110,30,17.0316
2021-02-18T23:09:22+00:00,-37.821182403713465,145.01523141749203,10.97806,15.799999999999955,109,30,18.6768
2021-02-18T23:09:25+00:00,-37.82101049087942,145.0151882506907,10.997459999999998,15.600000000000023,109,30,19.1808
2021-02-18T23:09:28+00:00,-37.82084293663502,145.015160003677,11.01621,15.399999999999977,112,30,20.692800000000002
2021-02-18T23:09:32+00:00,-37.82061872072518,145.01509822905064,11.04166,15.399999999999977,110,30,21.5316
2021-02-18T23:09:35+00:00,-37.8204485680908,145.0150468479842,11.06106,15.399999999999977,110,30,21.33
2021-02-18T23:09:38+00:00,-37.82028176821768,145.0150154158473,11.07972,15.399999999999977,111,30,21.1968
2021-02-18T23:09:39+00:00,-37.82022971659899,145.01499789766967,11.08567,14.799999999999955,110,30,21.33
2021-02-18T23:09:40+00:00,-37.82018629834056,145.0149863306433,11.09059,14.399999999999977,110,30,21.564
2021-02-18T23:09:43+00:00,-37.819987228140235,145.01484744250774,11.115,14.0,108,30,21.564
2021-02-18T23:09:44+00:00,-37.81992117874324,145.0147992465645,11.12338,14.600000000000023,106,30,21.564
2021-02-18T23:09:46+00:00,-37.81980098225176,145.01475423574448,11.13725,15.0,104,30,24.354
2021-02-18T23:09:48+00:00,-37.819692520424724,145.01473017968237,11.14946,15.0,104,30,24.354
2021-02-18T23:09:52+00:00,-37.819477608427405,145.0146766193211,11.17378,15.600000000000023,106,30,21.564
2021-02-18T23:09:54+00:00,-37.81939772889018,145.01464443281293,11.18309,15.600000000000023,107,30,21.3984
2021-02-18T23:09:56+00:00,-37.819298822432756,145.01462247222662,11.19423,15.600000000000023,107,30,21.261599999999998
2021-02-18T23:09:58+00:00,-37.81919086351991,145.01461467705667,11.20622,15.0,108,30,20.2896
2021-02-18T23:10:04+00:00,-37.81882884912193,145.01456966623664,11.24655,14.799999999999955,110,30,23.511599999999998
2021-02-18T23:10:06+00:00,-37.81871410086751,145.0145595241338,11.2593,14.799999999999955,111,30,24.285600000000002
2021-02-18T23:10:08+00:00,-37.81860664486885,145.0145423412323,11.27131,14.799999999999955,112,30,22.608
2021-02-18T23:10:09+00:00,-37.818549731746316,145.01454351469874,11.2776,15.0,113,30,22.608
2021-02-18T23:10:11+00:00,-37.81842534430325,145.01457067206502,11.2916,14.0,113,30,23.2776
2021-02-18T23:10:12+00:00,-37.8183572832495,145.0145867653191,11.29927,13.399999999999977,113,30,23.511599999999998
2021-02-18T23:10:13+00:00,-37.8182914853096,145.0145877711475,11.306569999999999,12.799999999999955,114,30,24.285600000000002
2021-02-18T23:10:16+00:00,-37.81811253167689,145.0145565904677,11.32664,12.600000000000023,113,30,24.1524
2021-02-18T23:10:17+00:00,-37.81805737875402,145.01453060656786,11.33316,12.600000000000023,113,30,23.8824
2021-02-18T23:10:18+00:00,-37.818005410954356,145.01450068317354,11.339450000000001,13.399999999999977,112,30,23.8824
2021-02-18T23:10:19+00:00,-37.817962327972054,145.0144829135388,11.34442,14.0,112,30,23.8824
2021-02-18T23:10:21+00:00,-37.81785394996405,145.01445659436285,11.35665,14.600000000000023,111,30,21.4632
2021-02-18T23:10:23+00:00,-37.81775403767824,145.01442222855985,11.368139999999999,14.799999999999955,110,30,20.7252
2021-02-18T23:10:25+00:00,-37.817654041573405,145.01439624466002,11.37948,14.600000000000023,110,30,20.7252
2021-02-18T23:10:26+00:00,-37.81760995276272,145.01438576728106,11.38444,14.399999999999977,110,30,20.7252
2021-02-18T23:10:27+00:00,-37.817559661343694,145.01438249833882,11.389959999999999,14.200000000000045,110,30,20.6244
2021-02-18T23:10:30+00:00,-37.81737333163619,145.01435534097254,11.410530000000001,13.799999999999955,111,30,20.556
2021-02-18T23:10:35+00:00,-37.81703822314739,145.0143108330667,11.44776,13.200000000000045,110,30,26.4348
2021-02-18T23:10:36+00:00,-37.81698768027127,145.01427554525435,11.45376,13.200000000000045,110,30,26.168400000000002
2021-02-18T23:10:37+00:00,-37.81692087650299,145.0142700970173,11.46117,13.399999999999977,110,30,24.6564
2021-02-18T23:10:40+00:00,-37.81676245853305,145.01422190107405,11.47903,13.799999999999955,110,30,20.7252
