timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,altitude@m,enhanced_speed@km/h,speed@km/h,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm
2020-01-25T03:37:11+00:00,-37.82069876790047,144.96238997206092,2.30925,86.79999999999995,86.79999999999995,12.6288,12.6288,158,90,26,0.0
2020-01-25T03:37:13+00:00,-37.82065928913653,144.96244554407895,2.31642,86.60000000000002,86.60000000000002,12.999600000000001,12.999600000000001,158,90,26,0.0
2020-01-25T03:37:15+00:00,-37.82064034603536,144.96251352131367,2.32409,86.60000000000002,86.60000000000002,13.9068,13.9068,156,91,27,0.0
2020-01-25T03:37:19+00:00,-37.820636071264744,144.96267043054104,2.3398600000000003,86.39999999999998,86.39999999999998,14.3424,14.3424,158,91,27,0.0
2020-01-25T03:37:24+00:00,-37.82053783535957,144.96283253654838,2.36143,86.20000000000005,86.20000000000005,15.8544,15.8544,158,92,26,0.0
2020-01-25T03:37:25+00:00,-37.82052484340966,144.9628693331033,2.36583,86.39999999999998,86.39999999999998,15.822,15.822,158,92,27,0.0
2020-01-25T03:37:30+00:00,-37.82052207738161,144.9630974046886,2.38747,86.39999999999998,86.39999999999998,15.4512,15.4512,158,92,26,0.0
2020-01-25T03:37:35+00:00,-37.820641016587615,144.9633011687547,2.40871,86.39999999999998,86.39999999999998,15.080400000000001,15.080400000000001,157,92,26,0.0
2020-01-25T03:37:36+00:00,-37.8206140268594,144.96333838440478,2.4128600000000002,86.39999999999998,86.39999999999998,14.9472,14.9472,157,92,26,0.0
2020-01-25T03:37:39+00:00,-37.82055627554655,144.9634787812829,2.42498,86.20000000000005,86.20000000000005,14.544,14.544,158,92,26,0.0
2020-01-25T03:37:44+00:00,-37.82046239823103,144.9637081939727,2.4449099999999997,86.39999999999998,86.39999999999998,13.874400000000001,13.874400000000001,158,92,26,0.0
2020-01-25T03:37:49+00:00,-37.820511097088456,144.9639605730772,2.46496,86.60000000000002,86.60000000000002,14.9796,14.9796,159,92,26,0.0
2020-01-25T03:37:54+00:00,-37.820482682436705,144.9641728028655,2.4856700000000003,86.60000000000002,86.60000000000002,14.8464,14.8464,160,92,26,0.0
2020-01-25T03:37:58+00:00,-37.82045158557594,144.9643364176154,2.50213,86.60000000000002,86.60000000000002,14.814000000000002,14.814000000000002,159,92,26,0.0
2020-01-25T03:38:03+00:00,-37.82043063081801,144.96448972262442,2.52257,86.39999999999998,86.39999999999998,14.5116,14.5116,159,92,26,0.0
2020-01-25T03:38:04+00:00,-37.82043708488345,144.96452618390322,2.52657,86.39999999999998,86.39999999999998,14.378400000000001,14.378400000000001,159,92,26,0.0
2020-01-25T03:38:08+00:00,-37.82050095498562,144.9646995216608,2.5425999999999997,86.39999999999998,86.39999999999998,14.5116,14.5116,160,91,26,0.0
2020-01-25T03:38:12+00:00,-37.8204779047519,144.9648721050471,2.5588699999999998,86.79999999999995,86.79999999999995,14.8464,14.8464,159,92,26,0.0
2020-01-25T03:38:16+00:00,-37.82031160779297,144.96505809947848,2.5755100000000004,87.0,87.0,15.048,15.048,160,91,26,0.0
2020-01-25T03:38:21+00:00,-37.820187052711844,144.96522632427514,2.59606,86.60000000000002,86.60000000000002,14.544,14.544,160,91,26,0.0
2020-01-25T03:38:24+00:00,-37.820157799869776,144.96533663012087,2.60801,86.39999999999998,86.39999999999998,14.31,14.31,157,91,26,0.0
2020-01-25T03:38:27+00:00,-37.82013952732086,144.96546336449683,2.6198099999999998,86.39999999999998,86.39999999999998,14.076,14.076,157,91,26,0.0
2020-01-25T03:38:30+00:00,-37.82011656090617,144.96558481827378,2.63135,86.39999999999998,86.39999999999998,13.806000000000001,13.806000000000001,160,91,26,0.0
2020-01-25T03:38:32+00:00,-37.82012075185776,144.96567483991385,2.6390100000000003,86.60000000000002,86.60000000000002,13.7736,13.7736,159,91,26,0.0
2020-01-25T03:38:36+00:00,-37.82011413015425,144.96582789346576,2.65425,87.0,87.0,13.572000000000001,13.572000000000001,162,92,26,0.0
2020-01-25T03:38:41+00:00,-37.82005721703172,144.96606862172484,2.6732600000000004,87.0,87.0,14.0076,14.0076,157,92,26,0.0
2020-01-25T03:38:46+00:00,-37.82001421786845,144.96628906577826,2.69283,86.79999999999995,86.79999999999995,14.076,14.076,157,92,26,0.0
2020-01-25T03:38:51+00:00,-37.81996157951653,144.96650054119527,2.71225,87.39999999999998,87.39999999999998,14.0076,14.0076,161,93,26,0.0
2020-01-25T03:38:55+00:00,-37.819893434643745,144.9666903913021,2.72818,87.60000000000002,87.60000000000002,14.9148,14.9148,159,92,26,0.0
2020-01-25T03:38:58+00:00,-37.81988111324608,144.96682642959058,2.74063,87.60000000000002,87.60000000000002,14.9472,14.9472,154,92,26,0.0
2020-01-25T03:39:00+00:00,-37.819879269227386,144.96691728942096,2.7489,87.39999999999998,87.39999999999998,14.814000000000002,14.814000000000002,148,92,26,0.0
2020-01-25T03:39:01+00:00,-37.81987742520869,144.96696380898356,2.75298,87.39999999999998,87.39999999999998,14.680800000000001,14.680800000000001,147,92,26,0.0
2020-01-25T03:39:06+00:00,-37.8198560513556,144.96717042289674,2.77295,87.60000000000002,87.60000000000002,14.277600000000001,14.277600000000001,146,91,26,0.0
2020-01-25T03:39:07+00:00,-37.81985705718398,144.96721132658422,2.77691,87.60000000000002,87.60000000000002,14.2416,14.2416,146,91,26,0.0
2020-01-25T03:39:09+00:00,-37.81982931308448,144.9672781303525,2.78481,87.79999999999995,87.79999999999995,14.209200000000001,14.209200000000001,146,91,26,0.0
2020-01-25T03:39:10+00:00,-37.8198179975152,144.96730688028038,2.7887199999999996,87.79999999999995,87.79999999999995,14.076,14.076,146,92,26,0.0
2020-01-25T03:39:12+00:00,-37.81982185319066,144.9673775397241,2.79593,87.60000000000002,87.60000000000002,12.7656,12.7656,146,92,26,0.0
2020-01-25T03:39:15+00:00,-37.81978421844542,144.96751743368804,2.80706,87.60000000000002,87.60000000000002,14.544,14.544,150,91,26,0.0
2020-01-25T03:39:16+00:00,-37.81978120096028,144.96756655164063,2.8112399999999997,87.39999999999998,87.39999999999998,15.048,15.048,150,91,26,0.0
2020-01-25T03:39:20+00:00,-37.81977592036128,144.96775363571942,2.82781,87.0,87.0,14.7816,14.7816,150,93,26,0.0
2020-01-25T03:39:23+00:00,-37.819783464074135,144.96788883581758,2.84022,87.0,87.0,15.015600000000001,15.015600000000001,153,93,26,0.0
2020-01-25T03:39:25+00:00,-37.81978949904442,144.9679822102189,2.84856,87.39999999999998,87.39999999999998,15.015600000000001,15.015600000000001,157,93,26,0.0
2020-01-25T03:39:26+00:00,-37.81978455372155,144.96802621521056,2.85273,87.39999999999998,87.39999999999998,15.015600000000001,15.015600000000001,159,93,26,0.0
2020-01-25T03:39:28+00:00,-37.819752702489495,144.96810751967132,2.861,87.60000000000002,87.60000000000002,14.8464,14.8464,161,93,26,0.0
2020-01-25T03:39:29+00:00,-37.819748762995005,144.96814331039786,2.86512,87.79999999999995,87.79999999999995,14.8464,14.8464,161,94,26,0.0
2020-01-25T03:39:31+00:00,-37.81976284459233,144.96821983717382,2.87315,88.0,88.0,14.277600000000001,14.277600000000001,161,96,26,0.0
